keyword,category,used,used_date
건강보험 환급금 신청방법,금융,true,2026-05-08
실업급여 조건 및 신청방법,금융,true,2026-05-08
청년도약계좌 가입조건,금융,true,2026-05-08
전세자금대출 조건 2024,금융,true,2026-05-08
주택청약 1순위 조건,부동산,false,
고혈압 낮추는 방법 자연식품,건강,false,
당뇨 초기증상 및 관리법,건강,false,
갑상선 기능저하증 증상,건강,false,
면역력 높이는 음식 추천,건강,false,
수면의 질 높이는 방법,건강,false,
ChatGPT 활용법 직장인,IT,false,
스마트폰 배터리 오래 쓰는 법,IT,false,
노트북 느려짐 해결방법,IT,false,
클라우드 저장소 비교 구글드라이브,IT,false,
유튜브 프리미엄 해지 방법,IT,false,
국민연금 조기수령 조건,금융,false,
종합소득세 신고 방법 직장인,금융,false,
카드포인트 현금화 방법,금융,false,
자동차보험 할인 받는 법,금융,false,
정기예금 금리 비교 2024,금융,false,
다이어트 식단 일주일,건강,false,
간헐적 단식 방법 16 8,건강,false,
허리디스크 자가치료 스트레칭,건강,false,
눈 건강 지키는 생활습관,건강,false,
두통 종류별 원인과 해결법,건강,false,
정부지원금 신청 방법 2024,생활,false,
주민등록등본 인터넷 발급,생활,false,
운전면허 갱신 방법,생활,false,
여권 갱신 온라인 신청,생활,false,
건강검진 대상 및 항목 안내,생활,false,
